Time - Plot 0,Amplitude - Plot 0
0.03356,-1.6
0.03358,-1.52
0.0336,-1.6
0.03362,-1.36
0.03364,-1.52
0.03366,-1.44
0.03368,-1.44
0.0337,-1.36
0.03372,-1.44
0.03374,-1.36
0.03376,-1.44
0.03378,-1.28
0.0338,-1.36
0.03382,-1.28
0.03384,-1.36
0.03386,-1.2
0.03388,-1.28
0.0339,-1.2
0.03392,-1.28
0.03394,-1.2
0.03396,-1.28
0.03398,-1.12
0.034,-1.2
0.03402,-1.12
0.03404,-1.2
0.03406,-1.04
0.03408,-1.12
0.0341,-0.96
0.03412,-1.04
0.03414,-0.96
0.03416,-1.04
0.03418,-0.96
0.0342,-0.96
0.03422,-0.88
0.03424,-0.96
0.03426,-0.8
0.03428,-0.88
0.0343,-0.8
0.03432,-0.8
0.03434,-0.72
0.03436,-0.88
0.03438,-0.72
0.0344,-0.72
0.03442,-0.64
0.03444,-0.8
0.03446,-0.56
0.03448,-0.64
0.0345,-0.56
0.03452,-0.56
0.03454,-0.48
0.03456,-0.56
0.03458,-0.4
0.0346,-0.48
0.03462,-0.4
0.03464,-0.4
0.03466,-0.32
0.03468,-0.48
0.0347,-0.32
0.03472,-0.4
0.03474,-0.24
0.03476,-0.32
0.03478,-0.16
0.0348,-0.24
0.03482,-0.16
0.03484,-0.24
0.03486,-0.08
0.03488,-0.16
0.0349,0
0.03492,-0.08
0.03494,0.08
0.03496,-0.08
0.03498,0.08
0.035,0
0.03502,0.16
0.03504,0
0.03506,0.24
0.03508,0.08
0.0351,0.24
0.03512,0.16
0.03514,0.24
0.03516,0.24
0.03518,0.4
0.0352,0.24
0.03522,0.32
0.03524,0.32
0.03526,0.48
0.03528,0.32
0.0353,0.48
0.03532,0.32
0.03534,0.48
0.03536,0.48
0.03538,0.56
0.0354,0.48
0.03542,0.56
0.03544,0.48
0.03546,0.64
0.03548,0.64
0.0355,0.72
0.03552,0.56
0.03554,0.72
0.03556,0.56
0.03558,0.64
0.0356,0.56
0.03562,0.72
0.03564,0.64
0.03566,0.64
0.03568,0.64
0.0357,0.72
0.03572,0.56
0.03574,0.72
0.03576,0.64
0.03578,0.72
0.0358,0.56
0.03582,0.72
0.03584,0.64
0.03586,0.72
0.03588,0.72
0.0359,0.8
0.03592,0.64
0.03594,0.72
0.03596,0.64
0.03598,0.72
0.036,0.64
0.03602,0.72
0.03604,0.64
0.03606,0.8
0.03608,0.64
0.0361,0.72
0.03612,0.72
0.03614,0.72
0.03616,0.64
0.03618,0.72
0.0362,0.64
0.03622,0.8
0.03624,0.64
0.03626,0.72
0.03628,0.64
0.0363,0.8
0.03632,0.64
0.03634,0.8
0.03636,0.64
0.03638,0.72
0.0364,0.64
0.03642,0.72
0.03644,0.64
0.03646,0.72
0.03648,0.72
0.0365,0.72
0.03652,0.64
0.03654,0.72
0.03656,0.64
0.03658,0.72
0.0366,0.64
0.03662,0.8
0.03664,0.72
0.03666,0.72
0.03668,0.72
0.0367,0.8
0.03672,0.72
0.03674,0.72
0.03676,0.64
0.03678,0.8
0.0368,0.64
0.03682,0.72
0.03684,0.72
0.03686,0.8
0.03688,0.72
0.0369,0.8
0.03692,0.64
0.03694,0.72
0.03696,0.64
0.03698,0.72
0.037,0.64
0.03702,0.8
0.03704,0.72
0.03706,0.8
0.03708,0.72
0.0371,0.8
0.03712,0.72
0.03714,0.72
0.03716,0.64
0.03718,0.8
0.0372,0.64
0.03722,0.72
0.03724,0.72
0.03726,0.72
0.03728,0.72
0.0373,0.8
0.03732,0.64
0.03734,0.8
0.03736,0.64
0.03738,0.8
0.0374,0.64
0.03742,0.72
0.03744,0.64
0.03746,0.8
0.03748,0.64
0.0375,0.8
0.03752,0.72
0.03754,0.8
0.03756,0.72
0.03758,0.8
0.0376,0.72
0.03762,0.8
0.03764,0.64
0.03766,0.8
0.03768,0.64
0.0377,0.72
0.03772,0.64
0.03774,0.72
0.03776,0.72
0.03778,0.8
0.0378,0.72
0.03782,0.72
0.03784,0.64
0.03786,0.72
0.03788,0.72
0.0379,0.8
0.03792,0.64
0.03794,0.72
0.03796,0.72
0.03798,0.8
0.038,0.72
0.03802,0.8
0.03804,0.64
0.03806,0.88
0.03808,0.64
0.0381,0.8
0.03812,0.72
0.03814,0.8
0.03816,0.64
0.03818,0.8
0.0382,0.64
0.03822,0.8
0.03824,0.64
0.03826,0.72
0.03828,0.72
0.0383,0.8
0.03832,0.64
0.03834,0.8
0.03836,0.64
0.03838,0.72
0.0384,0.72
0.03842,0.8
0.03844,0.64
0.03846,0.72
0.03848,0.72
0.0385,0.8
0.03852,0.72
0.03854,0.8
0.03856,0.64
0.03858,0.72
0.0386,0.64
0.03862,0.8
0.03864,0.64
0.03866,0.8
0.03868,0.64
0.0387,0.88
0.03872,0.72
0.03874,0.8
0.03876,0.64
0.03878,0.8
0.0388,0.72
0.03882,0.8
0.03884,0.72
0.03886,0.8
0.03888,0.64
0.0389,0.72
0.03892,0.64
0.03894,0.8
0.03896,0.64
0.03898,0.72
0.039,0.64
0.03902,0.8
0.03904,0.64
0.03906,0.72
0.03908,0.64
0.0391,0.72
0.03912,0.72
0.03914,0.72
0.03916,0.64
0.03918,0.64
0.0392,0.56
0.03922,0.8
0.03924,0.64
0.03926,0.72
0.03928,0.56
0.0393,0.8
0.03932,0.64
0.03934,0.72
0.03936,0.56
0.03938,0.64
0.0394,0.56
0.03942,0.72
0.03944,0.56
0.03946,0.72
0.03948,0.56
0.0395,0.72
0.03952,0.56
0.03954,0.64
0.03956,0.56
0.03958,0.64
0.0396,0.56
0.03962,0.72
0.03964,0.48
0.03966,0.56
0.03968,0.48
0.0397,0.56
